Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,,Mean
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6229.100674,6204.996457,6710.507602,6958.497262,7023.077526,,6625.235904
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6259.839681,5756.965741,6690.939847,7005.095413,6624.761865,,6467.520509
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,,6463.266125
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6359.900578,6177.227235,6272.949782,6635.381394,6562.969998,,6401.685798
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6175.87603,5870.777957,6376.706716,6729.583332,6418.615783,,6314.311963
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,,6183.309258
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,5576.825852,5811.397924,6124.95367,6145.819277,6609.51128,,6053.7016
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,5547.679602,5540.167966,6058.914633,6387.748819,6473.782551,,6001.658714
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,,5998.037012
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5390.714207,5651.272721,6101.02389,6317.413723,6175.890653,,5927.263039
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,,5528.152818
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5413.776021,5324.609068,5678.869972,5782.78455,5383.574422,,5516.722806
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,,5461.80923
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4688.318017,4550.658638,4985.452879,5915.850854,5943.458455,,5216.747769
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,4755.93561,4745.70858,5154.4311,5415.611006,5487.844058,,5111.906071
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,,5110.253796
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4896.61526,4546.986688,5367.114674,5588.392864,5028.295342,,5085.480966
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,5200.680787,5755.802448,6032.065127,4046.341864,3514.042168,,4909.786479
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,,4900.600472
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4509.589868,4493.836521,4879.042932,5110.911271,5168.837517,,4832.443622
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4366.051099,4349.147276,4718.39202,4933.697969,4993.619381,,4672.181549
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,,4658.351372
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,,4614.746851
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4336.239603,4157.877249,4513.432531,4740.700272,4903.012138,,4530.252359
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,,4370.309955
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,,4347.809264
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,,4256.924367
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4073.729083,4109.663296,4258.978675,4187.504787,4322.868416,,4190.548851
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3832.551181,3965.895179,4222.557375,4340.564704,4271.583766,,4126.630441
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4177.889542,3946.452447,4109.698217,4142.018558,3989.668276,,4073.145408
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,3520.766449,3759.560246,4009.380987,4384.048892,4416.108358,,4017.972986
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324,,3987.76637
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,3316.664522,3706.329903,3978.676452,4156.305128,4652.350846,,3962.06537
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,3875.321675,3658.3903,3687.100003,4156.84697,4404.84583,,3956.500956
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3843.780672,3886.291502,4077.043841,4059.20823,3848.212376,,3942.907324
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,,3928.437101
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3680.349473,3425.531957,3914.418484,4107.094431,3889.851226,,3803.449114
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.841602,3924.349092,3687.780316,3690.896932,3571.945048,,3793.962598
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3939.384091,3968.09362,3867.06706,3605.440104,3573.155702,,3790.628115
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3931.556278,3962.898791,3864.148677,3604.925763,3574.162674,,3787.538436
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3331.695115,3562.816334,3837.578024,3893.859578,4135.233344,,3752.236479
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3199.886846,3490.998389,3672.576783,3793.550983,4073.10983,,3646.024566
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2732.46073,2880.43529,3509.686829,4230.626969,4492.10574,,3569.063111
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,,3527.86357
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3244.237034,3303.710575,3521.381645,3509.754222,3538.833413,,3423.583378
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3043.031382,3131.017598,3292.633503,3616.460666,3603.775241,,3337.383678
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,,3312.882273
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2906.617012,3014.700358,3289.642117,3568.291016,3624.249092,,3280.699919
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3001.043182,3073.654686,3123.245642,3252.110274,3485.340844,,3187.078925
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,,3107.228521
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2875.258057,2896.722168,3035.454346,3226.98291,3235.000732,,3053.883643
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,,3016.662751
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2581.622442,2745.565588,2974.117229,3230.927713,3425.089253,,2991.464445
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2695.666186,2805.66532,3082.540055,3125.436014,3122.982599,,2966.458035
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2652.513228,2803.689125,2926.153304,3038.269738,3172.750685,,2918.675216
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.662354,2187.730469,2638.326172,3096.561768,3661.456299,,2741.747412
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2679.346579,2509.629637,2695.249009,2801.371393,2820.306397,,2701.180603
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,,2436.639225
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2140.044323,2324.400917,2455.211559,2569.093892,2613.944427,,2420.539024
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3127.890598,1728.023754,2313.220584,2524.942483,2177.799015,,2374.375287
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2448.523778,2051.666176,2170.900563,2606.615526,2369.729441,,2329.487097
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2167.155394,2225.475204,2332.898555,2411.897904,2344.048976,,2296.295207
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2109.3345,2193.471208,2322.906883,2335.303125,2411.334922,,2274.470128
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2687.480056,2176.002772,1968.565398,2027.778549,2229.858652,,2217.937085
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,2753.971072,2704.677188,1916.764642,1597.068337,1784.009816,,2151.298211
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,,2137.467408
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,1774.074771,1971.956935,2074.290733,2260.860567,2246.625578,,2065.561717
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2049.851666,2107.57406,2159.161926,2014.575189,1924.471816,,2051.126931
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2184.542236,2583.447266,3178.314209,773.5070801,755.3289795,,1895.027954
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1605.605445,1732.554242,1980.66702,1998.259076,2072.244897,,1877.866136
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1972.147153,1861.940378,1787.801592,1835.321807,1852.219116,,1861.886009
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1543.048131,1696.739629,1911.329754,1944.006635,1987.56834,,1816.538498
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1543.048131,1696.739629,1911.329754,1944.006635,1987.56834,,1816.538498
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1584.775657,1700.097997,1813.807434,1953.513257,1987.579702,,1807.954809
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1248.45331,1678.95323,1839.583378,1991.483267,2154.226819,,1782.540001
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1884.473311,1709.943472,1754.843556,1742.490898,1797.209467,,1777.792141
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1894.322115,1673.843681,1613.490478,1704.135698,1777.852822,,1732.728959
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1464.554009,1525.235192,1633.491216,1794.091175,1909.304537,,1665.335226
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1692.674294,1538.244417,1622.982614,1606.863419,1618.920771,,1615.937103
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1692.674294,1538.244417,1622.982614,1606.863419,1618.920771,,1615.937103
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1691.410566,1536.929331,1621.632341,1605.490023,1617.541932,,1614.600839
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1524.073317,1536.855615,1587.858904,1669.773476,1743.301317,,1612.372526
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1535.162783,1586.344978,1648.594957,1693.950155,1512.95277,,1595.401128
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1356.667831,1540.184503,1631.531909,1678.04315,1481.813864,,1537.648252
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1556.316469,1446.533624,1629.404273,1541.031661,1511.309259,,1536.919057
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,,1476.709894
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1563.731184,1396.061296,1446.507196,1438.529516,1474.823822,,1463.930603
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1338.290927,1280.806543,1535.196574,1516.368371,1305.001031,,1395.132689
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,,1394.600988
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1386.854191,1290.380508,1369.063734,1479.345827,1312.770636,,1367.682979
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1342.999404,1342.913778,1372.988159,1369.260457,1399.11567,,1365.455494
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1332.791856,1353.754934,1299.494635,1249.138351,1583.713576,,1363.77867
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.249415,1269.903294,1361.701972,1458.081584,1435.830367,,1348.953326
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.069702,1464.588957,1235.189032,1254.642265,1316.740657,,1343.246123
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1242.585608,1273.050952,1323.814843,1428.290463,1404.433187,,1334.435011
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,,1233.338252
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1196.743333,1136.610627,1151.114464,1250.173685,1271.111536,,1201.150729
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,,1152.403741
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1146.064688,1018.784872,1102.629728,1192.48432,1153.388058,,1122.670333
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,1119.651437,,,,,,1119.651437
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1024.886105,1080.258622,1162.971829,1133.259641,1169.69953,,1114.215145
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1009.424564,1025.998979,1119.433811,1077.493342,1105.717065,,1067.613552
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,1601.807163,1152.738019,964.3403436,758.1459489,750.5545834,,1045.517212
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,901.7496077,899.523581,1048.453755,1178.525957,1194.957236,,1044.642027
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,947.9333496,966.5029907,1004.906616,1042.838745,1085.884888,,1009.613318
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,965.7695501,987.1093103,1065.40861,987.1739045,994.8982809,,1000.071931
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,979.1444387,713.029204,955.836559,1265.60619,,,978.404098
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,978.4049812,807.1025861,848.6723799,853.2188734,890.5444024,,875.5886446
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,769.2554754,732.2915119,855.5752706,955.1112811,1052.588091,,872.964326
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,751.4728892,780.7235497,830.0214445,894.8048435,879.0431675,,827.2131789
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,570.9099672,803.1518934,830.7452767,901.5230169,893.3524541,,799.9365217
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,847.2676289,736.5598474,746.8307529,770.6007843,798.5857341,,779.9689496
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,751.1105055,744.7943858,772.2948846,783.8127901,820.1772393,,774.4379611
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,791.7100264,764.7048854,834.4908817,699.4114352,720.474279,,762.1583015
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,,750.695112
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,,735.4379954
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,,714.221891
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,721.5810505,740.914906,721.085044,710.2659984,672.3404992,,713.2374996
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,,711.1256595
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,660.7235712,690.7804932,679.7550717,732.7207273,772.5055883,,707.2970903
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,588.2288628,501.4151655,496.6822949,533.9915333,521.7548367,,528.4145386
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,484.1531374,500.2149113,517.7715723,570.723922,554.0993893,,525.3925864
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,497.3170391,471.3188225,467.0742317,565.8295429,596.5605701,,519.6200413
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,,512.909526
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,467.2354316,475.9555568,515.2933234,518.401123,526.2245722,,500.6220014
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,589.8594314,428.9264503,461.4149278,503.3020092,506.8171391,,498.0639916
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,380.5969877,315.7779871,506.1372944,544.5934593,591.8470837,,467.7905624
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,377.4229177,402.1916451,450.900697,475.9538139,468.1175148,,434.9173177
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,386.437817,389.8220615,384.4634014,389.8313955,419.3948077,,393.9898966
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,305.5111441,251.6514772,250.5146007,238.0343096,223.8628757,,253.9148815